,id_player,player,id_team,team,id_position,position,fixture,id_opponent,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent
19,677,Deivid,7,Chelsea,4,FWD,35,16,0,True,2023-09-02T14:00:00Z,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,338,1122,465,127,Nott'm Forest
20,225,Edouard,8,Crystal Palace,4,FWD,74,16,2,True,2023-10-07T16:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,8,8.0,12.6,2.0,2.3,1,0.00,0.08,0.08,1.18,55,-86802,360989,27517,114319,Nott'm Forest
21,232,Mateta,8,Crystal Palace,4,FWD,74,16,2,True,2023-10-07T16:30:00Z,0,0,8,90,0,0,1,0,0,0,0,0,0,0,0,-1,4.0,1.3,25.0,3.0,1,0.21,0.02,0.23,1.18,49,8401,64431,18035,9634,Nott'm Forest
22,237,Plange,8,Crystal Palace,4,FWD,74,16,0,True,2023-10-07T16:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-85,1306,0,85,Nott'm Forest
23,658,Gordon,8,Crystal Palace,4,FWD,74,16,0,True,2023-10-07T16:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-363,5582,0,363,Nott'm Forest
24,720,Ola-Adebomi,8,Crystal Palace,4,FWD,74,16,0,True,2023-10-07T16:30:00Z,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,512,703,631,119,Nott'm Forest
25,293,Darwin,11,Liverpool,4,FWD,97,16,10,True,2023-10-29T14:00:00Z,3,0,10,79,1,1,1,0,0,0,0,0,0,0,1,29,37.2,14.4,82.0,13.4,1,1.15,0.02,1.17,0.13,74,-16756,1334977,117451,134207,Nott'm Forest
26,297,Gakpo,11,Liverpool,4,FWD,97,16,1,True,2023-10-29T14:00:00Z,3,0,10,32,0,0,0,0,0,0,0,0,0,0,0,2,3.8,1.0,1.0,0.6,0,0.03,0.02,0.05,0.32,72,-7931,228130,5664,13595,Nott'm Forest
27,314,Adebayo,12,Luton,4,FWD,88,16,5,False,2023-10-21T14:00:00Z,2,2,9,18,1,0,0,1,0,0,0,0,0,0,0,26,35.4,11.2,29.0,7.6,0,0.63,0.02,0.65,0.10,48,1277,62248,5917,4640,Nott'm Forest
28,324,McAtee,12,Luton,4,FWD,88,16,0,False,2023-10-21T14:00:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-7506,76421,0,7506,Nott'm Forest
29,326,Morris,12,Luton,4,FWD,88,16,2,False,2023-10-21T14:00:00Z,2,2,9,81,0,0,0,2,0,0,0,0,0,0,0,4,0.0,2.4,11.0,1.3,1,0.18,0.03,0.21,2.97,56,-49827,664513,53493,103320,Nott'm Forest
30,327,Muskwe,12,Luton,4,FWD,88,16,0,False,2023-10-21T14:00:00Z,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-622,9097,0,622,Nott'm Forest
